asvID,CPF1,CPF2,CPF3,CPF4,CPF5,CPA1,CPA2,CPA3,CPA4,CPA5,CPJ1,CPJ2,CPJ3,CPJ4,CPJ5,CPO1,CPO2,CPO3,CPO4,CPO5,ONF1,ONF2,ONF3,ONF4,ONF5,ONA1,ONA2,ONA3,ONA4,ONA5,ONJ1,ONJ2,ONJ3,ONJ4,ONJ5,ONO1,ONO2,ONO3,ONO4,ONO5,TSA1,TSA2,TSA3,TSA4,TSA5,TSJ1,TSJ2,TSJ3,TSJ4,TSJ5,TSO1,TSO2,TSO3,TSO4,TSO5,SBF1,SBF2,SBF3,SBA1,SBA2,SBA3,SBJ1,SBJ2,SBJ3,SBO1,SBO2,SBO3
asv1,39,0,4,0,118,0,24,54,0,0,0,3,0,0,0,14,133,0,86,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0,0,0,117,73,57,0,0,0,0,0,0,0,0,0,0,14943,15295,14034,25225,13040,10775,6181,6864,5489,1886,565,1964
asv2,153,20,31,138,111,78,427,311,18,0,75,40,240,405,187,70,172,216,0,67,0,60,333,0,307,0,0,0,0,40,74,0,129,20,120,0,6,47,587,0,187,148,504,85,174,66,116,39,0,141,334,323,30,206,91,3465,3572,2705,1270,515,601,13888,11802,10221,7228,3437,11267
asv3,154,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,42,0,0,49,0,0,0,0,0,0,0,0,0,0,0,340,0,55,35,124,88,0,0,0,14,0,0,0,15,0,0,0,3918,4157,3867,18012,9088,7339,4973,5608,4239,6083,2096,6235
asv4,179,0,0,0,0,0,0,0,23,0,0,0,120,0,0,12,281,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,836,0,0,0,19,18,0,0,10,0,0,0,0,0,0,0,0,2133,2195,2092,10674,5536,5030,10641,10807,9906,7803,2449,7584
asv5,269,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,224,0,0,0,54,0,0,0,12,0,0,0,0,0,0,0,21,1743,1848,1619,11814,5716,4893,5122,5440,4036,9004,3449,10004
asv6,0,0,0,0,0,0,0,0,4,0,1091,0,76,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,5,0,30,9079,5391,1181,1293,4960,431,11792,2258,4985,16552,5737,3255,3156,4416,19,11,0,0,0,0,0,0,0,0,0,0
asv7,0,0,0,0,0,0,0,0,54,0,0,0,197,0,0,0,476,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,153,0,0,13360,0,10279,6,9171,50,23354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asv8,0,0,0,0,0,69,139,0,14,0,0,0,0,0,0,0,115,369,0,158,0,0,0,0,0,2,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3330,3825,731,2308,7245,183,3786,139,5584,4151,4678,1684,7307,4484,0,0,0,0,0,0,0,0,9,0,0,0
asv9,64,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,181,0,5,0,37,0,20,12,0,0,0,0,0,13,0,0,16,2836,3500,3178,5763,2745,2919,5679,5929,5313,2507,287,2163
asv10,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,1923,2807,9426,4340,2636,1442,528,2651,541,1612,3317,4307,1487,6136,4997,0,0,0,0,0,0,0,0,0,0,0,0
