SampleID,Cop_sp,Month ,Season,Temperature,NH4,Chla,PNEA,BA,BP
CPF1,C. ponticus,February,Winter,17.1,0.42,0.25,22.2,863,8.99
CPF2,C. ponticus,February,Winter,17.1,0.42,0.25,22.2,863,8.99
CPF3,C. ponticus,February,Winter,17.1,0.42,0.25,22.2,863,8.99
CPF4,C. ponticus,February,Winter,17.1,0.42,0.25,22.2,863,8.99
CPF5,C. ponticus,February,Winter,17.1,0.42,0.25,22.2,863,8.99
CPA1,C. ponticus,April,Spring,20.3,0.36,0.23,7.9,355,4.03
CPA2,C. ponticus,April,Spring,20.3,0.36,0.23,7.9,355,4.03
CPA3,C. ponticus,April,Spring,20.3,0.36,0.23,7.9,355,4.03
CPA4,C. ponticus,April,Spring,20.3,0.36,0.23,7.9,355,4.03
CPA5,C. ponticus,April,Spring,20.3,0.36,0.23,7.9,355,4.03
CPJ1,C. ponticus,July,Summer,29.3,0.59,0.4,3.1,309,11.95
CPJ2,C. ponticus,July,Summer,29.3,0.59,0.4,3.1,309,11.95
CPJ3,C. ponticus,July,Summer,29.3,0.59,0.4,3.1,309,11.95
CPJ4,C. ponticus,July,Summer,29.3,0.59,0.4,3.1,309,11.95
CPJ5,C. ponticus,July,Summer,29.3,0.59,0.4,3.1,309,11.95
CPO1,C. ponticus,October,Autumn,27.6,0.51,0.28,2.2,313,7.38
CPO2,C. ponticus,October,Autumn,27.6,0.51,0.28,2.2,313,7.38
CPO3,C. ponticus,October,Autumn,27.6,0.51,0.28,2.2,313,7.38
CPO4,C. ponticus,October,Autumn,27.6,0.51,0.28,2.2,313,7.38
CPO5,C. ponticus,October,Autumn,27.6,0.51,0.28,2.2,313,7.38
ONF1,O. nana,February,Winter,17.1,0.42,0.25,22.2,863,8.99
ONF2,O. nana,February,Winter,17.1,0.42,0.25,22.2,863,8.99
ONF3,O. nana,February,Winter,17.1,0.42,0.25,22.2,863,8.99
ONF4,O. nana,February,Winter,17.1,0.42,0.25,22.2,863,8.99
ONF5,O. nana,February,Winter,17.1,0.42,0.25,22.2,863,8.99
ONA1,O. nana,April,Spring,20.3,0.36,0.23,7.9,355,4.03
ONA2,O. nana,April,Spring,20.3,0.36,0.23,7.9,355,4.03
ONA3,O. nana,April,Spring,20.3,0.36,0.23,7.9,355,4.03
ONA4,O. nana,April,Spring,20.3,0.36,0.23,7.9,355,4.03
ONA5,O. nana,April,Spring,20.3,0.36,0.23,7.9,355,4.03
ONJ1,O. nana,July,Summer,29.3,0.59,0.4,3.1,309,11.95
ONJ2,O. nana,July,Summer,29.3,0.59,0.4,3.1,309,11.95
ONJ3,O. nana,July,Summer,29.3,0.59,0.4,3.1,309,11.95
ONJ4,O. nana,July,Summer,29.3,0.59,0.4,3.1,309,11.95
ONJ5,O. nana,July,Summer,29.3,0.59,0.4,3.1,309,11.95
ONO1,O. nana,October,Autumn,27.6,0.51,0.28,2.2,313,7.38
ONO2,O. nana,October,Autumn,27.6,0.51,0.28,2.2,313,7.38
ONO3,O. nana,October,Autumn,27.6,0.51,0.28,2.2,313,7.38
ONO4,O. nana,October,Autumn,27.6,0.51,0.28,2.2,313,7.38
ONO5,O. nana,October,Autumn,27.6,0.51,0.28,2.2,313,7.38
TSA1,T. stylifera,April,Spring,20.3,0.36,0.23,7.9,355,4.03
TSA2,T. stylifera,April,Spring,20.3,0.36,0.23,7.9,355,4.03
TSA3,T. stylifera,April,Spring,20.3,0.36,0.23,7.9,355,4.03
TSA4,T. stylifera,April,Spring,20.3,0.36,0.23,7.9,355,4.03
TSA5,T. stylifera,April,Spring,20.3,0.36,0.23,7.9,355,4.03
TSJ1,T. stylifera,July,Summer,29.3,0.59,0.4,3.1,309,11.95
TSJ2,T. stylifera,July,Summer,29.3,0.59,0.4,3.1,309,11.95
TSJ3,T. stylifera,July,Summer,29.3,0.59,0.4,3.1,309,11.95
TSJ4,T. stylifera,July,Summer,29.3,0.59,0.4,3.1,309,11.95
TSJ5,T. stylifera,July,Summer,29.3,0.59,0.4,3.1,309,11.95
TSO1,T. stylifera,October,Autumn,27.6,0.51,0.28,2.2,313,7.38
TSO2,T. stylifera,October,Autumn,27.6,0.51,0.28,2.2,313,7.38
TSO3,T. stylifera,October,Autumn,27.6,0.51,0.28,2.2,313,7.38
TSO4,T. stylifera,October,Autumn,27.6,0.51,0.28,2.2,313,7.38
TSO5,T. stylifera,October,Autumn,27.6,0.51,0.28,2.2,313,7.38
SBF1,Sea water,February,Winter,17.1,0.42,0.25,22.2,863,8.99
SBF2,Sea water,February,Winter,17.1,0.42,0.25,22.2,863,8.99
SBF3,Sea water,February,Winter,17.1,0.42,0.25,22.2,863,8.99
SBA1,Sea water,April,Spring,20.3,0.36,0.23,7.9,355,4.03
SBA2,Sea water,April,Spring,20.3,0.36,0.23,7.9,355,4.03
SBA3,Sea water,April,Spring,20.3,0.36,0.23,7.9,355,4.03
SBJ1,Sea water,July,Summer,29.3,0.59,0.4,3.1,309,11.95
SBJ2,Sea water,July,Summer,29.3,0.59,0.4,3.1,309,11.95
SBJ3,Sea water,July,Summer,29.3,0.59,0.4,3.1,309,11.95
SBO1,Sea water,October,Autumn,27.6,0.51,0.28,2.2,313,7.38
SBO2,Sea water,October,Autumn,27.6,0.51,0.28,2.2,313,7.38
SBO3,Sea water,October,Autumn,27.6,0.51,0.28,2.2,313,7.38
