pathway,level1,level2,level3,ONF1,ONF2,ONF3,ONF4,ONF5,ONA1,ONA2,ONA3,ONA4,ONA5,ONJ1,ONJ2,ONJ3,ONJ4,ONJ5,ONO1,ONO2,ONO3,ONO5
ko00220,Arginine biosynthesis,Amino acid metabolism,Metabolism,0.002632625,0.002632625,0,0.002634512,0,0,0.002812597,0.003307005,0.002639755,0.003629758,0.003451381,0.00265851,0.003866073,0.003123741,0.002639679,0,0.002651687,0.002654298,0
ko00250,"Alanine, aspartate and glutamate metabolism",Amino acid metabolism,Metabolism,0.00412279,0.00412279,0,0.004187332,0,0,0.004943678,0.005609084,0.004366652,0.006539975,0.006294783,0.005008139,0.006864808,0.005612685,0.004364084,0,0.004774784,0.004864082,0
ko00260,"Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism,0.006358037,0.006358037,0,0.006358842,0,0,0.006810011,0.008163446,0.006361079,0.009012058,0.008524115,0.006369083,0.009658489,0.007644163,0.006361047,0,0.006366171,0.006367285,0
ko00270,Cysteine and methionine metabolism,Amino acid metabolism,Metabolism,0.004619511,0.004619511,0,0.00476437,0,0,0.006453583,0.007921675,0.005166833,0.009995191,0.009454019,0.006606581,0.010712142,0.00793954,0.00516107,0,0.006082842,0.006283261,0
ko00280,"Valine, leucine and isoleucine degradation",Amino acid metabolism,Metabolism,0.023445261,0.023445261,0,0.022530625,0,0,0.015091104,0.015645728,0.019989467,0.008666536,0.008542163,0.01089889,0.008831307,0.011740021,0.020025853,0,0.01420578,0.012940334,0
ko00290,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,Metabolism,0.002731969,0.002731969,0,0.002714261,0,0,0.002597431,0.002691015,0.002665061,0.002607441,0.002575169,0.002489059,0.002650195,0.002583411,0.002665766,0,0.002553084,0.002528583,0
ko00300,Lysine biosynthesis,Amino acid metabolism,Metabolism,0.002781641,0.002781641,0,0.002760993,0,0,0.002783596,0.003376383,0.002703624,0.003579889,0.003367911,0.002498399,0.003860719,0.00306418,0.002704446,0,0.002573054,0.002544486,0
ko00310,Lysine degradation,Amino acid metabolism,Metabolism,0.009785416,0.009785416,0,0.009453054,0,0,0.006695412,0.006731742,0.008529643,0.004092828,0.004107187,0.00522629,0.004073805,0.005376262,0.008542865,0,0.006427955,0.005968115,0
ko00330,Arginine and proline metabolism,Amino acid metabolism,Metabolism,0.004768528,0.004768528,0,0.004719415,0,0,0.004448328,0.004869055,0.004582966,0.004737564,0.00458996,0.004094839,0.004933111,0.004508398,0.00458492,0,0.004272406,0.004204456,0
ko00340,Histidine metabolism,Amino acid metabolism,Metabolism,0.003526724,0.003526724,0,0.003503116,0,0,0.003456224,0.003912483,0.003437526,0.004007338,0.003844819,0.003202887,0.004222644,0.003641047,0.003438465,0,0.003288242,0.003255579,0
ko00350,Tyrosine metabolism,Amino acid metabolism,Metabolism,0.00412279,0.00412279,0,0.004084471,0,0,0.003706472,0.003527752,0.003978009,0.003109694,0.003177283,0.003597161,0.003020152,0.003442094,0.003979534,0,0.003735703,0.003682687,0
ko00360,Phenylalanine metabolism,Amino acid metabolism,Metabolism,0.008791973,0.008791973,0,0.008593847,0,0,0.006729558,0.006080011,0.008043388,0.004089266,0.004339775,0.006074212,0.003757388,0.005531128,0.00805127,0,0.006790541,0.006516424,0
ko00380,Tryptophan metabolism,Amino acid metabolism,Metabolism,0.009437711,0.009437711,0,0.009105358,0,0,0.006276773,0.00609683,0.008181974,0.003323419,0.003415737,0.004878716,0.003201114,0.004824888,0.008195195,0,0.006080346,0.005620519,0
ko00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism,0.002880985,0.002880985,0,0.002909316,0,0,0.003330867,0.003895664,0.002988026,0.00447397,0.004268036,0.0032696,0.004746794,0.003791952,0.002986899,0,0.003167172,0.003206368,0
ko00010,Glycolysis / Gluconeogenesis,Carbohydrate metabolism,Metabolism,0.007649513,0.007649513,0,0.007594444,0,0,0.007397976,0.008197083,0.007441445,0.008253335,0.007969828,0.006894113,0.008628928,0.0076663,0.007443635,0,0.007093217,0.007017026,0
ko00020,Citrate cycle (TCA cycle),Carbohydrate metabolism,Metabolism,0.005265249,0.005265249,0,0.005200449,0,0,0.004792594,0.00519492,0.005020414,0.004926354,0.004786679,0.004376368,0.005111397,0.00477805,0.005022992,0,0.004610653,0.004520999,0
ko00030,Pentose phosphate pathway,Carbohydrate metabolism,Metabolism,0.00298033,0.00298033,0,0.003071354,0,0,0.003904331,0.004131128,0.003324247,0.005001158,0.004911885,0.004228932,0.005119427,0.004410949,0.003320626,0,0.003899834,0.00402577,0
ko00040,Pentose and glucuronate interconversions,Carbohydrate metabolism,Metabolism,0.001440493,0.001440493,0,0.001506088,0,0,0.002412668,0.003508831,0.001688334,0.004716191,0.004315637,0.002340289,0.005246851,0.003350377,0.001685725,0,0.002103127,0.002193882,0
ko00051,Fructose and mannose metabolism,Carbohydrate metabolism,Metabolism,0.001887542,0.001887542,0,0.00196782,0,0,0.002903809,0.003716964,0.002190858,0.004865799,0.004566047,0.002988739,0.005262913,0.003727032,0.002187664,0,0.002698493,0.002809561,0
ko00052,Galactose metabolism,Carbohydrate metabolism,Metabolism,0.00114246,0.00114246,0,0.001205125,0,0,0.002601173,0.005262195,0.001379228,0.007419809,0.006455407,0.002002055,0.008697459,0.004487753,0.001376735,0,0.001775488,0.001862188,0
ko00053,Ascorbate and aldarate metabolism,Carbohydrate metabolism,Metabolism,0.002235247,0.002235247,0,0.002226369,0,0,0.002134823,0.002081332,0.002201704,0.001976953,0.001996969,0.002113465,0.001950437,0.002066151,0.002202057,0,0.002145564,0.002133281,0
ko00500,Starch and sucrose metabolism,Carbohydrate metabolism,Metabolism,0.000943771,0.000943771,0,0.001038769,0,0,0.002398636,0.004129026,0.001302705,0.005966481,0.005334876,0.002246891,0.006803238,0.003844381,0.001298926,0,0.001903423,0.002034858,0
ko00520,Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,Metabolism,0.003477051,0.003477051,0,0.003696393,0,0,0.006195852,0.008241233,0.004305795,0.011270415,0.010514993,0.00648583,0.012271207,0.008336841,0.004297069,0,0.005692796,0.005996266,0
ko00562,Inositol phosphate metabolism,Carbohydrate metabolism,Metabolism,0.000943771,0.000943771,0,0.001052484,0,0,0.001769976,0.00119624,0.001354524,0.001709797,0.001907633,0.002435022,0.001447703,0.001856525,0.001350199,0,0.002041968,0.002192377,0
ko00620,Pyruvate metabolism,Carbohydrate metabolism,Metabolism,0.015199682,0.015199682,0,0.014800556,0,0,0.011626928,0.012090645,0.013691655,0.009183037,0.00904885,0.009724743,0.00936081,0.010300696,0.013707533,0,0.011167791,0.010615581,0
ko00630,Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism,Metabolism,0.013262468,0.013262468,0,0.012998584,0,0,0.010708729,0.010431887,0.012265429,0.008146473,0.008268065,0.009642686,0.007985386,0.009473704,0.012275926,0,0.010596764,0.010231667,0
ko00640,Propanoate metabolism,Carbohydrate metabolism,Metabolism,0.019719849,0.019719849,0,0.018977729,0,0,0.012976394,0.013532861,0.01691588,0.00793631,0.007797022,0.009539948,0.00812084,0.01032274,0.016945402,0,0.0122231,0.011196339,0
ko00650,Butanoate metabolism,Carbohydrate metabolism,Metabolism,0.015497715,0.015497715,0,0.015039803,0,0,0.011191918,0.011094129,0.013767576,0.007366378,0.007439454,0.00921639,0.007269566,0.009283699,0.013785792,0,0.010871981,0.010238437,0
ko00660,C5-Branched dibasic acid metabolism,Carbohydrate metabolism,Metabolism,0.003377707,0.003377707,0,0.003253202,0,0,0.002267197,0.002424016,0.002907285,0.001524569,0.001478325,0.001669824,0.001585834,0.001860953,0.002912238,0,0.002119977,0.001947717,0
ko00190,Oxidative phosphorylation,Energy metabolism,Metabolism,0.006407709,0.006407709,0,0.006433004,0,0,0.006791301,0.007240512,0.00650328,0.007722585,0.007558568,0.006754683,0.007939878,0.007169173,0.006502274,0,0.00666323,0.006698226,0
ko00195,Photosynthesis,Energy metabolism,Metabolism,0.000794755,0.000794755,0,0.00080257,0,0,0.000931763,0.001126862,0.000824283,0.001310845,0.001239871,0.000901959,0.001404871,0.001083082,0.000823972,0,0.000873703,0.000884515,0
ko00680,Methane metabolism,Energy metabolism,Metabolism,0.004520167,0.004520167,0,0.004547473,0,0,0.004956775,0.005510273,0.004623336,0.006073343,0.005871567,0.004894727,0.006340659,0.005406788,0.00462225,0,0.004796003,0.004833782,0
ko00710,Carbon fixation in photosynthetic organisms,Energy metabolism,Metabolism,0.001639181,0.001639181,0,0.001645014,0,0,0.001814413,0.002182245,0.00166122,0.002457834,0.002324759,0.001719192,0.002634133,0.002063774,0.001660988,0,0.001698103,0.001706173,0
ko00720,Carbon fixation pathways in prokaryotes,Energy metabolism,Metabolism,0.009139678,0.009139678,0,0.008886683,0,0,0.006973257,0.007566377,0.008183781,0.005909488,0.005716583,0.005669264,0.00616505,0.006316269,0.008193846,0,0.006583973,0.006233942,0
ko00910,Nitrogen metabolism,Energy metabolism,Metabolism,0.003526724,0.003526724,0,0.003578547,0,0,0.003916025,0.003628665,0.00372253,0.003864855,0.003964159,0.004237605,0.003733295,0.003948775,0.003720468,0,0.004050235,0.004121936,0
ko00920,Sulfur metabolism,Energy metabolism,Metabolism,0.005165905,0.005165905,0,0.005415569,0,0,0.006868948,0.004959456,0.006109215,0.005770567,0.006438262,0.008590623,0.004885996,0.006704342,0.006099283,0,0.007687958,0.00803338,0
ko00130,Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism of cofactors and vitamins,Metabolism,0.001639181,0.001639181,0,0.001699873,0,0,0.002199841,0.002182245,0.001868496,0.00265731,0.00265864,0.002471714,0.002655549,0.002433998,0.001866081,0,0.00225228,0.002336251,0
ko00670,One carbon pool by folate,Metabolism of cofactors and vitamins,Metabolism,0.001291476,0.001291476,0,0.001317891,0,0,0.001610472,0.001831151,0.001391279,0.002179992,0.002098261,0.001653813,0.002288269,0.001852564,0.001390228,0,0.001558311,0.001594857,0
ko00730,Thiamine metabolism,Metabolism of cofactors and vitamins,Metabolism,0.001192132,0.001192132,0,0.001231284,0,0,0.001800848,0.002541748,0.001340063,0.003316295,0.003045987,0.001729199,0.003674402,0.002413725,0.001338505,0,0.001587642,0.001641812,0
ko00740,Riboflavin metabolism,Metabolism of cofactors and vitamins,Metabolism,0.000794755,0.000794755,0,0.000829999,0,0,0.001077702,0.00093765,0.000927921,0.001132741,0.001180314,0.00127822,0.001069715,0.001133974,0.000926519,0,0.001150791,0.001199554,0
ko00750,Vitamin B6 metabolism,Metabolism of cofactors and vitamins,Metabolism,0.000596066,0.000596066,0,0.0006225,0,0,0.000890133,0.001034359,0.000695941,0.001335779,0.001281606,0.000958665,0.001407548,0.001085365,0.000694889,0,0.000863093,0.000899666,0
ko00760,Nicotinate and nicotinamide metabolism,Metabolism of cofactors and vitamins,Metabolism,0.003377707,0.003377707,0,0.003431494,0,0,0.003730327,0.00327547,0.003580932,0.003423157,0.003582678,0.00411552,0.003211822,0.003668171,0.003578792,0,0.003921052,0.003995469,0
ko00770,Pantothenate and CoA biosynthesis,Metabolism of cofactors and vitamins,Metabolism,0.001589509,0.001589509,0,0.001673714,0,0,0.002392087,0.002442937,0.001907661,0.003148877,0.003123591,0.00274457,0.003182376,0.002763164,0.001904311,0,0.002440126,0.002556627,0
