pathway,level1,level2,level3,TSA1,TSA2,TSA3,TSA4,TSA5,TSJ1,TSJ2,TSJ3,TSJ4,TSJ5,TSO1,TSO2,TSO3,TSO4,TSO5
ko00220,Arginine biosynthesis,Amino acid metabolism,Metabolism,0.005358314,0.004743817,0.004860163,0.004961784,0.00473694,0.005033557,0.005033557,0.005033557,0.005038466,0.005034311,0.004925907,0.004899652,0.004672043,0.004564338,0.004949553
ko00250,"Alanine, aspartate and glutamate metabolism",Amino acid metabolism,Metabolism,0.008769434,0.007837756,0.00808491,0.008307346,0.007726543,0.008628955,0.008628955,0.008628955,0.008631078,0.008629281,0.008346239,0.008277286,0.007679526,0.007396665,0.00840834
ko00260,"Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism,0.011293968,0.009511125,0.009743257,0.009936235,0.009641343,0.009827421,0.009827421,0.009827421,0.009849588,0.009830826,0.009693151,0.009660403,0.009376508,0.009242169,0.009722644
ko00270,Cysteine and methionine metabolism,Amino acid metabolism,Metabolism,0.016161956,0.01145588,0.012296234,0.013025537,0.011475391,0.013422819,0.013422819,0.013422819,0.013464222,0.013429178,0.012683973,0.012503772,0.010941593,0.010202368,0.012846265
ko00280,"Valine, leucine and isoleucine degradation",Amino acid metabolism,Metabolism,0.009743031,0.011111761,0.010627753,0.010184149,0.011447381,0.009348035,0.009348035,0.009348035,0.009354005,0.009348952,0.009967591,0.010118697,0.011428656,0.01204853,0.009831501
ko00290,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,Metabolism,0.003317052,0.002926396,0.00300145,0.003067107,0.002920472,0.003116012,0.003116012,0.003116012,0.00311905,0.003116478,0.003045735,0.003028595,0.002880006,0.002809694,0.003061172
ko00300,Lysine biosynthesis,Amino acid metabolism,Metabolism,0.005425338,0.004016912,0.004209883,0.004371599,0.004106123,0.004314477,0.004314477,0.004314477,0.004331269,0.004317056,0.004192209,0.004162388,0.00390387,0.003781538,0.004219066
ko00310,Lysine degradation,Amino acid metabolism,Metabolism,0.004364728,0.005806067,0.005562685,0.00535284,0.005780157,0.00527325,0.00527325,0.00527325,0.005259517,0.005271141,0.005475903,0.005525328,0.005953806,0.006156563,0.005431389
ko00330,Arginine and proline metabolism,Amino acid metabolism,Metabolism,0.005546449,0.006289981,0.006159847,0.006047169,0.006283142,0.00599233,0.00599233,0.00599233,0.00598559,0.005991295,0.00610461,0.006131994,0.006369394,0.006481732,0.006079947
ko00340,Histidine metabolism,Amino acid metabolism,Metabolism,0.005452382,0.004803709,0.00500763,0.005193264,0.00468092,0.005512943,0.005512943,0.005512943,0.005512028,0.005512803,0.005262325,0.005201201,0.004671306,0.00442056,0.005317375
ko00350,Tyrosine metabolism,Amino acid metabolism,Metabolism,0.003713311,0.004400663,0.004270164,0.004156147,0.004408867,0.004074784,0.004074784,0.004074784,0.00406932,0.004073945,0.004195804,0.00422532,0.004481197,0.004602279,0.004169221
ko00360,Phenylalanine metabolism,Amino acid metabolism,Metabolism,0.004411761,0.006455008,0.006072441,0.005738689,0.006471762,0.005512943,0.005512943,0.005512943,0.005496299,0.005510387,0.005863639,0.005949171,0.006690664,0.007041539,0.005786606
ko00380,Tryptophan metabolism,Amino acid metabolism,Metabolism,0.005130201,0.006379949,0.006183872,0.006016369,0.006336182,0.00599233,0.00599233,0.00599233,0.005979298,0.005990328,0.006142789,0.006179485,0.006497607,0.006648143,0.006109739
ko00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism,0.005962698,0.005284977,0.005491266,0.005678677,0.005166325,0.00599233,0.00599233,0.00599233,0.005991882,0.005992261,0.005741913,0.005680838,0.005151369,0.004900823,0.005796919
ko00010,Glycolysis / Gluconeogenesis,Carbohydrate metabolism,Metabolism,0.007010373,0.007922433,0.007881882,0.007858716,0.007744422,0.008149569,0.008149569,0.008149569,0.008132349,0.008146924,0.008086178,0.008070718,0.007936689,0.007873267,0.008100103
ko00020,Citrate cycle (TCA cycle),Carbohydrate metabolism,Metabolism,0.006728171,0.006074161,0.006264113,0.006436156,0.00597265,0.006711409,0.006711409,0.006711409,0.006711663,0.006711448,0.006485156,0.006429974,0.005951596,0.005725226,0.006534854
ko00030,Pentose phosphate pathway,Carbohydrate metabolism,Metabolism,0.003948479,0.004765697,0.004790493,0.004828798,0.004519119,0.00527325,0.00527325,0.00527325,0.005253226,0.005270175,0.005113206,0.005074172,0.004735781,0.004575655,0.005148361
ko00040,Pentose and glucuronate interconversions,Carbohydrate metabolism,Metabolism,0.001739071,0.002313856,0.00208345,0.001870931,0.002493471,0.001438159,0.001438159,0.001438159,0.001442708,0.001438858,0.001744192,0.001818832,0.002465893,0.002772083,0.00167697
ko00051,Fructose and mannose metabolism,Carbohydrate metabolism,Metabolism,0.003854412,0.004382851,0.004415535,0.004456392,0.004199687,0.004793864,0.004793864,0.004793864,0.004779664,0.004791683,0.004662252,0.004630152,0.004351879,0.004220199,0.004691161
ko00052,Galactose metabolism,Carbohydrate metabolism,Metabolism,0.002558633,0.003842337,0.003864108,0.00390768,0.003479477,0.004554171,0.004554171,0.004554171,0.004524007,0.004549538,0.004331784,0.004277545,0.003807341,0.00358484,0.004380633
ko00053,Ascorbate and aldarate metabolism,Carbohydrate metabolism,Metabolism,0.0012558,0.002269518,0.002151114,0.002054512,0.002176126,0.002157239,0.002157239,0.002157239,0.002143613,0.002155146,0.00221064,0.002223665,0.002336574,0.002390003,0.00219891
ko00500,Starch and sucrose metabolism,Carbohydrate metabolism,Metabolism,0.006016786,0.006670182,0.006954057,0.007239799,0.006096907,0.008389262,0.008389262,0.008389262,0.008353401,0.008383754,0.007815333,0.007675355,0.006461869,0.005887646,0.007941401
ko00520,Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,Metabolism,0.011556181,0.009774833,0.010435734,0.011043002,0.009293902,0.012224353,0.012224353,0.012224353,0.012214253,0.012222802,0.011365695,0.011156273,0.009340771,0.008481672,0.011554305
ko00562,Inositol phosphate metabolism,Carbohydrate metabolism,Metabolism,0.000651417,0.001405404,0.00129252,0.001196693,0.00137129,0.001198466,0.001198466,0.001198466,0.001190197,0.001197196,0.001280099,0.001300009,0.001472609,0.001554284,0.001262168
ko00620,Pyruvate metabolism,Carbohydrate metabolism,Metabolism,0.009306794,0.011016631,0.010712277,0.010448238,0.011008163,0.010306807,0.010306807,0.010306807,0.010291692,0.010304486,0.010573614,0.010638687,0.011202809,0.011469752,0.010515008
ko00630,Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism,Metabolism,0.007936937,0.009928502,0.009478945,0.009079561,0.010054041,0.008628955,0.008628955,0.008628955,0.008618495,0.008627348,0.009100267,0.009215218,0.010211736,0.01068329,0.00899674
