pathway,level1,level2,level3,SBF1,SBF2,SBF3,SBA1,SBA2,SBA3,SBJ1,SBJ2,SBJ3,SBO1,SBO2,SBO3
ko00220,Arginine biosynthesis,Amino acid metabolism,Metabolism,0.004701341,0.00471574,0.004710918,0.004701579,0.004703068,0.004712887,0.004791815,0.00477961,0.004794802,0.004705387,0.004648183,0.004697764
ko00250,"Alanine, aspartate and glutamate metabolism",Amino acid metabolism,Metabolism,0.00818193,0.008273347,0.008245398,0.008517211,0.008509798,0.008559915,0.008841508,0.008809848,0.008855498,0.008770512,0.008612475,0.008731472
ko00260,"Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism,0.014400992,0.014434787,0.014360039,0.014718005,0.014731011,0.014651335,0.014359004,0.014375317,0.014314398,0.014452762,0.014621725,0.01451559
ko00270,Cysteine and methionine metabolism,Amino acid metabolism,Metabolism,0.009388582,0.009412744,0.009399408,0.009151398,0.009151481,0.009165821,0.009384833,0.009341767,0.009388304,0.00898125,0.008801474,0.008953077
ko00280,"Valine, leucine and isoleucine degradation",Amino acid metabolism,Metabolism,0.00787203,0.007720373,0.007862397,0.007196483,0.007240505,0.007328912,0.007011416,0.007093742,0.007144731,0.006811353,0.006729175,0.006786054
ko00290,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,Metabolism,0.003816406,0.003841441,0.003820865,0.004010282,0.004019213,0.004016327,0.003894022,0.003911315,0.003904156,0.003922997,0.003950315,0.00393213
ko00300,Lysine biosynthesis,Amino acid metabolism,Metabolism,0.005271709,0.005307019,0.005257574,0.005266513,0.005249152,0.005204391,0.005306199,0.00526912,0.005255257,0.005206685,0.005214905,0.005211092
ko00310,Lysine degradation,Amino acid metabolism,Metabolism,0.005047953,0.005001155,0.005053542,0.005084301,0.005094045,0.005123976,0.005050077,0.005082808,0.005077909,0.005295025,0.005344177,0.005302333
ko00330,Arginine and proline metabolism,Amino acid metabolism,Metabolism,0.008568789,0.008556227,0.008562836,0.008922261,0.008952353,0.008954408,0.008529465,0.008605394,0.008570441,0.008821341,0.00897479,0.008860173
ko00340,Histidine metabolism,Amino acid metabolism,Metabolism,0.00592406,0.005947744,0.005905719,0.00625702,0.006250102,0.00619836,0.006076624,0.006084551,0.006029886,0.006366338,0.00653179,0.006405848
ko00350,Tyrosine metabolism,Amino acid metabolism,Metabolism,0.004852625,0.00478498,0.004840093,0.004830713,0.004846005,0.004860881,0.00464637,0.004696596,0.004676944,0.004903819,0.005007328,0.004923832
ko00360,Phenylalanine metabolism,Amino acid metabolism,Metabolism,0.004847204,0.004704225,0.004794949,0.004227157,0.004252509,0.004257829,0.003963006,0.0040148,0.004010061,0.003887853,0.003942985,0.003903829
ko00380,Tryptophan metabolism,Amino acid metabolism,Metabolism,0.003582236,0.003515157,0.00358332,0.003576826,0.003593719,0.003629701,0.003470627,0.003520344,0.003513993,0.003736452,0.003802941,0.003747249
ko00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino acid metabolism,Metabolism,0.007205285,0.007283289,0.007186052,0.007541397,0.007508346,0.007418856,0.007613623,0.007551742,0.007497876,0.007764797,0.007871925,0.007798814
ko00010,Glycolysis / Gluconeogenesis,Carbohydrate metabolism,Metabolism,0.010394096,0.010480871,0.01041827,0.010545044,0.010509637,0.010490802,0.010839287,0.010771817,0.010781634,0.01074528,0.010669365,0.010718394
ko00020,Citrate cycle (TCA cycle),Carbohydrate metabolism,Metabolism,0.006953651,0.007013608,0.00696033,0.006914634,0.006890549,0.006866117,0.007148603,0.007085745,0.007100017,0.006916722,0.006823674,0.006896856
ko00030,Pentose phosphate pathway,Carbohydrate metabolism,Metabolism,0.004675683,0.004770649,0.004741447,0.005070042,0.005043823,0.005085299,0.005391762,0.005358701,0.005388019,0.005479278,0.005381335,0.005433644
ko00040,Pentose and glucuronate interconversions,Carbohydrate metabolism,Metabolism,0.003184831,0.003220912,0.0032123,0.003537276,0.003516656,0.00352411,0.003638576,0.003633233,0.003617172,0.003968383,0.00402753,0.003962978
ko00051,Fructose and mannose metabolism,Carbohydrate metabolism,Metabolism,0.004955586,0.005036907,0.004987992,0.005590007,0.005552739,0.005530901,0.005845166,0.005801685,0.005763658,0.006351568,0.006447041,0.006363692
ko00052,Galactose metabolism,Carbohydrate metabolism,Metabolism,0.002207681,0.002196094,0.002217459,0.001997205,0.002009946,0.00204485,0.001961751,0.001979687,0.002015587,0.001706111,0.001610576,0.001678352
ko00053,Ascorbate and aldarate metabolism,Carbohydrate metabolism,Metabolism,0.002241606,0.002255521,0.002251665,0.002563461,0.002563228,0.002563215,0.002519194,0.002534911,0.002511719,0.002814258,0.002899063,0.002831541
ko00500,Starch and sucrose metabolism,Carbohydrate metabolism,Metabolism,0.001709839,0.001718366,0.001718441,0.001761084,0.001759302,0.001766965,0.001800988,0.00179896,0.001802927,0.001824077,0.001812665,0.001819371
ko00520,Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,Metabolism,0.009055757,0.009089322,0.008988192,0.008945511,0.008945216,0.008830462,0.008656113,0.008627975,0.008581771,0.008337029,0.008421636,0.008383673
ko00562,Inositol phosphate metabolism,Carbohydrate metabolism,Metabolism,0.002134274,0.002167264,0.002178611,0.002028644,0.002050383,0.002125491,0.002053217,0.002076189,0.002149992,0.001617835,0.001408793,0.001561211
ko00620,Pyruvate metabolism,Carbohydrate metabolism,Metabolism,0.012941931,0.012948143,0.012932391,0.013077851,0.013070287,0.013043478,0.013083936,0.013072931,0.013046651,0.013251864,0.013322158,0.013273182
ko00630,Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism,Metabolism,0.012187887,0.012109717,0.012118294,0.012101777,0.012139909,0.01208331,0.011580321,0.011643076,0.011585113,0.011680748,0.011878899,0.011755412
ko00640,Propanoate metabolism,Carbohydrate metabolism,Metabolism,0.008853714,0.008787678,0.008814932,0.008417979,0.008449996,0.008446735,0.008104566,0.008148011,0.008158141,0.00777251,0.007759427,0.007780642
ko00650,Butanoate metabolism,Carbohydrate metabolism,Metabolism,0.007597315,0.007477464,0.007573189,0.007275018,0.007321727,0.007365795,0.006897884,0.006992049,0.006997915,0.006908988,0.006960343,0.006923662
ko00660,C5-Branched dibasic acid metabolism,Carbohydrate metabolism,Metabolism,0.002497588,0.002511405,0.002495587,0.002604688,0.002617204,0.002611602,0.002556681,0.002561016,0.002558744,0.002529153,0.002528362,0.002544239
ko00195,Photosynthesis,Energy metabolism,Metabolism,0.002496647,0.0025332,0.00249653,0.002635404,0.0026231,0.002597951,0.002675454,0.002653497,0.002640363,0.002705651,0.002726361,0.002710989
ko00680,Methane metabolism,Energy metabolism,Metabolism,0.008134539,0.008198401,0.008171866,0.008881552,0.008864179,0.008862016,0.009133712,0.009107951,0.009071417,0.009751409,0.009850884,0.009782072
ko00710,Carbon fixation in photosynthetic organisms,Energy metabolism,Metabolism,0.003964429,0.004008993,0.003960215,0.004265485,0.004237247,0.004187461,0.004383504,0.004341748,0.004300763,0.004653149,0.004748137,0.004675801
ko00720,Carbon fixation pathways in prokaryotes,Energy metabolism,Metabolism,0.007839208,0.007873455,0.007839621,0.008108573,0.008094782,0.008064445,0.008225218,0.008194157,0.008167861,0.008430888,0.00848542,0.008453435
ko00910,Nitrogen metabolism,Energy metabolism,Metabolism,0.002234977,0.002249113,0.002259771,0.002365102,0.002354024,0.002376363,0.002563853,0.002547358,0.002556017,0.002705694,0.00267802,0.002693723
ko00920,Sulfur metabolism,Energy metabolism,Metabolism,0.00654155,0.006598019,0.006651877,0.006153655,0.006187284,0.006373268,0.006532266,0.006542483,0.006726733,0.005576655,0.005032521,0.005434508
ko00130,Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism of cofactors and vitamins,Metabolism,0.00197628,0.001997907,0.001972995,0.002034303,0.002022169,0.002000384,0.002070642,0.002051472,0.002040434,0.002089561,0.002108264,0.002092291
ko00670,One carbon pool by folate,Metabolism of cofactors and vitamins,Metabolism,0.004105265,0.004170334,0.004129725,0.004357801,0.004356244,0.004360578,0.004492571,0.00446848,0.004481578,0.004434428,0.004369731,0.004429055
ko00730,Thiamine metabolism,Metabolism of cofactors and vitamins,Metabolism,0.001927955,0.001895048,0.001900728,0.001908184,0.001925094,0.001904667,0.001676066,0.001706803,0.001682739,0.001731929,0.001818256,0.001762348
ko00740,Riboflavin metabolism,Metabolism of cofactors and vitamins,Metabolism,0.001808542,0.001824396,0.001814625,0.001859707,0.001858677,0.001860425,0.001867553,0.001865589,0.001868935,0.001844366,0.001831926,0.001840049
ko00750,Vitamin B6 metabolism,Metabolism of cofactors and vitamins,Metabolism,0.00172349,0.001753528,0.001726528,0.001940646,0.00193563,0.001919354,0.001930426,0.001924895,0.001908308,0.002043508,0.002086889,0.002055147
ko00760,Nicotinate and nicotinamide metabolism,Metabolism of cofactors and vitamins,Metabolism,0.005670372,0.005663264,0.005658285,0.005835641,0.005840921,0.00582189,0.005708544,0.005725565,0.005696134,0.005905618,0.006003591,0.005933875
ko00770,Pantothenate and CoA biosynthesis,Metabolism of cofactors and vitamins,Metabolism,0.004472838,0.004513708,0.00449213,0.004532203,0.004533178,0.004547336,0.004599792,0.004589534,0.004612679,0.004435977,0.004354391,0.004417431
ko00780,Biotin metabolism,Metabolism of cofactors and vitamins,Metabolism,0.004306933,0.004280901,0.004315586,0.004388319,0.004386283,0.004405744,0.004397837,0.004415965,0.00440717,0.004649265,0.004701603,0.004651122
ko00785,Lipoic acid metabolism,Metabolism of cofactors and vitamins,Metabolism,0.000576181,0.000580241,0.000574498,0.000582324,0.000578991,0.000572698,0.000596741,0.000590691,0.000587654,0.000601256,0.000605858,0.000602442
ko00790,Folate biosynthesis,Metabolism of cofactors and vitamins,Metabolism,0.00495579,0.004931888,0.004915927,0.004979753,0.004979124,0.004923737,0.004801782,0.004806362,0.00475816,0.004963114,0.005104622,0.005006123
ko00830,Retinol metabolism,Metabolism of cofactors and vitamins,Metabolism,0.000842104,0.000827528,0.00083182,0.000880788,0.000872957,0.000856116,0.000878569,0.000875355,0.000853162,0.001051068,0.001120012,0.001065571
ko00860,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,Metabolism,0.004313202,0.004214552,0.004304782,0.004119727,0.004179951,0.004245107,0.003662615,0.003779326,0.003797855,0.003622369,0.003647386,0.003630908
ko00410,beta-Alanine metabolism,Metabolism of other amino acids,Metabolism,0.004661385,0.004618924,0.004672269,0.004686378,0.004721061,0.004773666,0.004454335,0.004526532,0.004540818,0.00450944,0.004519764,0.004509682
ko00430,Taurine and hypotaurine metabolism,Metabolism of other amino acids,Metabolism,0.001528225,0.001510777,0.001507356,0.001578785,0.001577222,0.001547547,0.001512359,0.001512907,0.001482196,0.001676517,0.001767495,0.001704736
ko00440,Phosphonate and phosphinate metabolism,Metabolism of other amino acids,Metabolism,0.000530044,0.000503873,0.000526278,0.000379295,0.000382997,0.00039258,0.000448602,0.000443092,0.000453491,0.000400565,0.000366235,0.000398968
ko00450,Selenocompound metabolism,Metabolism of other amino acids,Metabolism,0.002552945,0.002581019,0.002615023,0.002351809,0.002354656,0.002450012,0.002708275,0.002689528,0.002782939,0.002309691,0.002024401,0.0022323
ko00460,Cyanoamino acid metabolism,Metabolism of other amino acids,Metabolism,0.000759936,0.000757138,0.000758778,0.000600007,0.000601414,0.000607228,0.000600434,0.000598015,0.00061429,0.000422402,0.000370156,0.000408022
ko00471,D-Glutamine and D-glutamate metabolism,Metabolism of other amino acids,Metabolism,0.000718336,0.00071177,0.00071248,0.000743745,0.000739986,0.000729816,0.000752312,0.00074832,0.000736479,0.000840996,0.000875174,0.000850262
ko00472,D-Arginine and D-ornithine metabolism,Metabolism of other amino acids,Metabolism,0.000122401,0.000129107,0.000134262,8.37E-05,8.24E-05,9.93E-05,0.000154662,0.000149716,0.000166781,8.12E-05,2.87E-05,6.54E-05
ko00473,D-Alanine metabolism,Metabolism of other amino acids,Metabolism,0.000502312,0.000510496,0.000520165,0.000448238,0.000448832,0.000476261,0.000532559,0.000530125,0.000556017,0.000422424,0.000345985,0.000399389
ko00480,Glutathione metabolism,Metabolism of other amino acids,Metabolism,0.003030452,0.0029802,0.003017049,0.002710209,0.002735869,0.002759537,0.002508106,0.002549782,0.002572151,0.002261293,0.002219229,0.002252283
ko00361,Chlorocyclohexane and chlorobenzene degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.000594703,0.00056997,0.000584522,0.000460584,0.000467976,0.00046997,0.000383598,0.000396751,0.000399087,0.000320916,0.00032219,0.000321899
ko00362,Benzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.002628009,0.002472342,0.002588617,0.002137943,0.002187579,0.002227527,0.001738039,0.001835332,0.001838146,0.001737405,0.001801108,0.001758137
ko00364,Fluorobenzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.000100999,8.50E-05,9.87E-05,4.52E-05,5.08E-05,5.80E-05,8.78E-06,1.95E-05,2.23E-05,0,0,0
ko00365,Furfural degradation,Xenobiotics biodegradation and metabolism,Metabolism,1.69E-05,1.39E-05,1.59E-05,8.85E-07,8.93E-07,9.45E-07,1.65E-06,1.66E-06,1.76E-06,0,0,0
ko00621,Dioxin degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.000453248,0.000436719,0.000437119,0.000366331,0.000367913,0.000352192,0.000313789,0.000314016,0.000304804,0.000295152,0.000320077,0.000305432
ko00622,Xylene degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.000576102,0.000544536,0.000567917,0.000520137,0.000526323,0.000530162,0.000466566,0.000481674,0.000475467,0.000540369,0.000572245,0.000549041
ko00623,Toluene degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.000139946,0.000119088,0.000138924,8.72E-05,9.82E-05,0.000112548,1.15E-05,3.29E-05,3.81E-05,0,0,0
ko00624,Polycyclic aromatic hydrocarbon degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.000364953,0.000355506,0.000357184,0.000438775,0.000440957,0.000431065,0.000361405,0.000372928,0.000355509,0.000484935,0.000545654,0.000500063
ko00625,Chloroalkane and chloroalkene degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.003378858,0.003374096,0.003372055,0.003522987,0.003515398,0.003497469,0.003484326,0.003487846,0.003459221,0.003721596,0.003814873,0.003739626
ko00626,Naphthalene degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.001631208,0.001621344,0.001612389,0.001701718,0.001688133,0.001651649,0.001695252,0.001682763,0.001646857,0.001912353,0.002014447,0.001936511
ko00627,Aminobenzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.000980233,0.000923306,0.000974378,0.000824905,0.000852317,0.00088508,0.000644331,0.00069511,0.000706582,0.00061609,0.000618096,0.000618698
ko00633,Nitrotoluene degradation,Xenobiotics biodegradation and metabolism,Metabolism,3.33E-05,2.94E-05,3.50E-05,4.17E-05,4.72E-05,5.42E-05,2.20E-06,1.29E-05,1.52E-05,0,0,0
ko00642,Ethylbenzene degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.000285986,0.000274602,0.00027664,0.000262403,0.000262751,0.000253099,0.000226528,0.000228678,0.000219514,0.000260029,0.000288577,0.000268498
ko00643,Styrene degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.00143208,0.001412493,0.001423053,0.001576734,0.001587206,0.001581534,0.001415381,0.001446563,0.001421587,0.00162656,0.001723756,0.001651546
ko00791,Atrazine degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.000290881,0.000268671,0.000285605,0.000211991,0.000227419,0.000238716,0.000110701,0.000133464,0.000139758,5.00E-05,4.37E-05,5.32E-05
ko00930,Caprolactam degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.00064857,0.000604206,0.000636356,0.000522206,0.000527974,0.000532406,0.000459593,0.000476777,0.000470814,0.000525534,0.000560006,0.000532785
ko00980,Metabolism of xenobiotics by cytochrome P450,Xenobiotics biodegradation and metabolism,Metabolism,0.001356887,0.001296445,0.001334846,0.001273289,0.001281884,0.001277286,0.001110199,0.001143274,0.001119609,0.001296263,0.00139635,0.001317813
ko00982,Drug metabolism - cytochrome P450,Xenobiotics biodegradation and metabolism,Metabolism,0.00113946,0.001077931,0.001122501,0.001016191,0.001024919,0.001029822,0.000904366,0.000933306,0.000919377,0.001051068,0.001120012,0.001065571
ko00983,Drug metabolism - other enzymes,Xenobiotics biodegradation and metabolism,Metabolism,0.002394593,0.002363712,0.002393209,0.002133438,0.002157651,0.002190456,0.001977719,0.002014903,0.002046506,0.001700636,0.001627723,0.001682563
ko00984,Steroid degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.000154143,0.00014137,0.000155509,5.67E-05,5.75E-05,6.79E-05,8.61E-05,8.64E-05,9.60E-05,4.06E-05,1.44E-05,3.27E-05
