asvID,Kingdom,Phylum,Class,Order,Family,Genus,Species
asv1,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
asv2,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus CC9902,NA
asv3,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
asv4,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
asv5,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
asv6,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,xiamenense
asv7,Bacteria,NA,NA,NA,NA,NA,NA
asv8,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
asv9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
asv10,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
asv12,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,NA,NA,NA
asv13,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,NA,NA,NA
asv14,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,HIMB11,NA
asv15,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
asv16,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,NA
asv17,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4 marine group,NA
asv18,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,NA,NA
asv19,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,NA,NA,NA
asv20,Bacteria,SAR324 clade(Marine group B),NA,NA,NA,NA,NA
asv21,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
asv22,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
asv23,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,NA
asv24,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
asv25,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,NA
asv28,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,NA
asv29,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,NA
asv30,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,NA,NA
asv31,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA,NA
asv32,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
asv33,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marinibacterium,NA
asv34,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,NA
asv35,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA,NA
asv36,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,NA,NA,NA
asv37,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,NA
asv38,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,NA
asv39,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
asv40,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,NA,NA
asv42,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,NA
asv43,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,Candidatus Puniceispirillum,NA
asv44,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
asv45,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,NA,NA,NA
asv46,Bacteria,SAR324 clade(Marine group B),NA,NA,NA,NA,NA
asv48,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
asv49,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,NA,NA
asv50,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,NA
asv51,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
asv53,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,NA
asv54,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea,NA
asv55,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ascidiaceihabitans,NA
asv56,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,Candidatus Puniceispirillum,NA
asv57,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,NA,NA
asv58,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,NA,NA,NA
asv59,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus MIT9313,marinus
asv60,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,NA,NA,NA
asv62,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Balneola,NA
asv63,Bacteria,Marinimicrobia (SAR406 clade),NA,NA,NA,NA,NA
asv64,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,NA,NA,NA
asv65,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,NA,NA,NA
asv66,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,Candidatus Puniceispirillum,NA
asv68,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
asv69,Bacteria,Marinimicrobia (SAR406 clade),NA,NA,NA,NA,NA
